2017/10/1 上午 1:52
專案統計數據

       	 分節數	   字數	字元數（不含空白）	字元數（含空白）	#檔案	
總數：    	6884	93495	   454122	  540107	 25	
剩餘分節：  	6435	90209	   437774	  520972	 25	
唯一分節：  	5858	87392	   424059	  504798	 21	
剩餘唯一分節：	5674	84476	   409635	  487692	 20	


個別檔案數據統計：

檔案名稱                                                  	總分節數	剩餘分節數	唯一分節數	剩餘唯一分節數	  總字數	 剩餘字數	唯一字詞數	剩餘唯一字詞數	總字元數（不含空白）	剩餘字元數（不含空白）	唯一字元數（不含空白）	剩餘唯一字元數（不含空白）	總字元數（含空白）	剩餘字元數（含空白）	唯一字元數（含空白）	唯一剩餘字元數（含空白）	
appendixa-downloading-libreoffice.odt                 	  29	   10	   27	      9	  218	   14	  215	     13	      1369	        176	       1345	          174	     1545	       176	      1520	         174	
appendixb-learning-more-about-typography.odt          	  30	   27	   25	     23	  285	  273	  278	    269	      1566	       1488	       1510	         1456	     1814	      1728	      1756	        1696	
appendixc-where-to-get-free-fonts.odt                 	  73	   29	   67	     25	  776	   75	  764	     71	      4266	        673	       4182	          641	     4928	       689	      4838	         657	
appendixd-free-font-equivalents-for-standard-fonts.odt	 101	  100	   92	     92	  418	  415	  395	    395	      2370	       2346	       2226	         2226	     2687	      2661	      2529	        2529	
back-cover.odt                                        	   6	    5	    0	      0	    8	    5	    0	      0	        58	         34	          0	            0	       60	        34	         0	           0	
chapter1-introduction.odt                             	 112	   14	  100	      8	 1615	   46	 1547	     35	      8134	        443	       7704	          321	     9590	       453	      9109	         331	
chapter10-structured-prose-lists-and-tables.odt       	 457	  436	  419	    419	 6683	 6660	 6618	   6618	     31722	      31614	      31401	        31401	    37880	     37770	     37520	       37520	
chapter11-styled-features-and-long-documents.odt      	 624	  596	  499	    499	 7127	 7097	 6992	   6992	     35109	      34972	      34429	        34429	    41495	     41356	     40808	       40808	
chapter12-designing-and-delivering-slide-shows.odt    	 376	  361	  346	    346	 5453	 5436	 5433	   5433	     26709	      26639	      26609	        26609	    31748	     31676	     31646	       31646	
chapter13-designing-drawing-content.odt               	 352	  339	  321	    321	 4771	 4756	 4745	   4745	     23136	      23064	      22980	        22980	    27524	     27450	     27364	       27364	
chapter14-drawing-object-styles-and-charts.odt        	 287	  276	  261	    261	 3937	 3924	 3887	   3887	     18887	      18825	      18588	        18588	    22527	     22463	     22196	       22196	
chapter15-designing-spreadsheets.odt                  	 525	  508	  488	    488	 7394	 7375	 7366	   7366	     35873	      35785	      35717	        35717	    42683	     42593	     42522	       42522	
chapter16-putting-it-all-together.odt                 	 140	  133	  130	    130	 2074	 2064	 2062	   2062	     10097	      10024	       9996	         9996	    12020	     11944	     11916	       11916	
chapter2-going-in-style.odt                           	 456	  411	  417	    388	 6053	 5536	 6021	   5524	     28975	      26621	      28825	        26565	    34513	     31691	     34359	       31635	
chapter3-recycling-with-templates.odt                 	 359	  343	  328	    328	 4970	 4952	 4909	   4909	     25184	      25087	      24859	        24859	    29808	     29709	     29446	       29446	
chapter4-fonts-color-and-the-magic number.odt         	 481	  467	  455	    455	 6447	 6431	 6427	   6427	     31408	      31329	      31298	        31298	    37276	     37195	     37164	       37164	
chapter5-spacing-on-all-sides.odt                     	 704	  679	  323	    323	10463	10436	 5295	   5295	     50433	      50313	      25547	        25547	    60212	     60090	     30507	       30507	
chapter6-text-tools-and-traps.odt                     	 399	  386	  350	    350	 5004	 4989	 4834	   4834	     24357	      24285	      23469	        23469	    28954	     28880	     27935	       27935	
chapter7-positioning-and-automating-text.odt          	 385	  370	  344	    344	 6133	 6116	 6108	   6108	     29962	      29868	      29819	        29819	    35697	     35601	     35551	       35551	
chapter8-styling-the-page.odt                         	 448	  430	  393	    393	 6610	 6590	 6505	   6505	     30908	      30801	      30356	        30356	    37050	     36941	     36430	       36430	
chapter9-getting-in-the-frame.odt                     	 515	  495	  472	    472	 7021	 6999	 6988	   6988	     33352	      33251	      33184	        33184	    39839	     39736	     39665	       39665	
dedication.odt                                        	   7	    5	    1	      0	   11	    5	    3	      0	        73	         34	         15	            0	       77	        34	        17	           0	
designing-with-libreoffice.ott                        	   6	    5	    0	      0	    8	    5	    0	      0	        58	         34	          0	            0	       60	        34	         0	           0	
front-cover.odt                                       	   6	    5	    0	      0	    8	    5	    0	      0	        58	         34	          0	            0	       60	        34	         0	           0	
title-page.odt                                        	   6	    5	    0	      0	    8	    5	    0	      0	        58	         34	          0	            0	       60	        34	         0	           0	
